episode,episode_reward,episode_length,final_distance,noise_std,avg_actor_loss,avg_critic_loss
0,95.02214326523244,268,1.0013349315207845,0.1,0.0,0.0
1,82.57790029165335,250,1.000735899016481,0.09999000000000001,-0.04992214869707823,0.13169295340776443
2,24.63259118469432,147,1.0038363231095342,0.09998000100000001,-0.35246909309077906,0.028645077361599415
3,-1.044979521073401,100,1.0199995523689211,0.09997000299990001,-0.37489084124565125,0.010611150963231921
4,1.531812023371458,104,1.0027967797419117,0.09996000599960002,-0.3382269161251875,0.01156449223904369
5,38.74869979964569,163,1.0039571179488636,0.09995000999900006,-0.44756511653341896,0.010143221253756343
6,21.694508979911916,133,1.0066311772680896,0.09994001499800016,-0.5898671728191953,0.007763853324859431
7,2.5790351628675126,107,1.0008128378702168,0.09993002099650036,-0.5890081999478517,0.0061965736536809275
8,18.261176887666807,147,1.0057197710208905,0.09992002799440071,-0.6413981533712811,0.004477538467553031
9,34.41160505393054,159,1.004863958490227,0.09991003599160127,-0.7343064814805984,0.002852563580381684
10,14.373032824893016,112,1.003749060267777,0.0999000449880021,-0.8952628672122955,0.004738453183173468
11,5.691038785502315,95,1.0005093252952268,0.0998900549835033,-1.0572019045551617,0.0062854811452173935
12,5.581238784710877,95,1.0186003756837785,0.09988006597800494,-1.2009030158321063,0.011018403999817869
13,-9.240277513861656,72,1.0011831939764049,0.09987007797140715,-1.338789463043213,0.008854236583121948
14,-11.678751364350319,72,1.0296617070716263,0.09986009096361001,-1.636770572927263,0.011263894563954737
15,-13.68518896587193,66,1.000207443046875,0.09985010495451364,-1.732946939766407,0.009715127249364741
16,-18.81669519469142,62,1.0236181185199178,0.09984011994401819,-1.871925339102745,0.007565022009657696
17,-22.064460219815373,57,1.0157750481197878,0.09983013593202379,-1.9422678436551775,0.010390836845285125
18,-24.54581394046545,54,1.0269795585454016,0.09982015291843059,-2.0624368374164286,0.012077009627738824
19,-25.47718697041273,51,1.0106684344647092,0.09981017090313875,-1.9886337426992564,0.01177820939427385
20,-25.796204786747694,50,1.000227259096127,0.09980018988604844,-2.0372042931043186,0.012748856652671328
21,-27.892802805639803,49,1.0145034221639935,0.09979020986705983,-1.9837971528371174,0.01570555424162497
22,-28.869908191263676,49,1.0267002755094619,0.09978023084607313,-2.039142996072769,0.019794352740670245
23,-30.080279108136892,49,1.0447758585599936,0.09977025282298851,-2.0983030994733176,0.013099203817546368
24,-29.607968796044588,49,1.0400743687471585,0.09976027579770622,-1.9686926144819994,0.018823346875321407
25,-28.60233847796917,48,1.0186498731262088,0.09975029977012645,-2.077894667784373,0.010285942000336945
26,-28.81515011936426,48,1.0245275577900896,0.09974032474014943,-2.1520635783672333,0.012827799228640894
27,-30.769637268036604,48,1.0422205238755327,0.09973035070767541,-2.080222765604655,0.00790880744655927
28,-30.46447090804577,48,1.0443243091924137,0.09972037767260465,-2.1290534138679504,0.005970783861509214
29,-29.82752675563097,48,1.0325603893977857,0.09971040563483739,-2.1587464213371277,0.008379605482332408
30,-30.931289441883564,48,1.0403144835707554,0.09970043459427391,-2.05702277024587,0.008135345065966249
31,-30.32829438149929,48,1.0361502974187475,0.09969046455081448,-2.1200334330399833,0.00550163077423349
32,-30.47839967906475,48,1.0393313408896923,0.09968049550435941,-2.034071445465088,0.008948634475624809
33,-29.468845933675766,48,1.0296876736825276,0.09967052745480898,-2.193201224009196,0.007471086942435552
34,-29.93709836155176,48,1.0367280980771592,0.0996605604020635,-2.0844794611136117,0.006422626068039487
35,-30.255886305123568,48,1.0403221672232161,0.0996505943460233,-2.0732861757278442,0.008826231603355458
36,-28.27272105962038,47,1.0083193162344082,0.0996406292865887,-2.174959421157837,0.006910890467803587
37,-29.63955633644946,47,1.0249079341673502,0.09963066522366004,-2.1340438028176627,0.009600969147868454
38,-27.964804150164127,47,1.0041172740510136,0.09962070215713768,-1.9907102386156719,0.008217974682338536
39,-27.84366560727358,47,1.003406066721171,0.09961074008692197,-1.9991832375526428,0.006509869592264295
40,-28.652791678905487,47,1.0065211088063761,0.09960077901291328,-2.1573456525802612,0.006089476741511713
41,-28.230484699830413,47,1.0034749404779317,0.099590818935012,-2.2351474861303964,0.009764900198206306
42,-27.95985008776188,47,1.002147361312346,0.0995808598531185,-1.9933722813924153,0.009197676205076277
43,-29.932511121034622,48,1.036316874047813,0.0995709017671332,-2.199100524187088,0.011360308368845532
44,-29.462392065208405,47,1.0198352414342324,0.09956094467695648,-2.033158669869105,0.013635007664561272
45,-29.829969737678766,48,1.0272569280012043,0.09955098858248879,-2.0508097112178802,0.010459565984395644
46,-31.210462726652622,48,1.0505663162409373,0.09954103348363054,-1.8330160478750865,0.014834048401098698
47,-28.867812633281574,47,1.0122460457616205,0.09953107938028218,-2.00232056054202,0.016509892588311977
48,-28.483133401721716,47,1.0070254727451613,0.09952112627234415,-1.885434587796529,0.02127252348388235
49,-29.11409574560821,47,1.0187452051017445,0.09951117415971691,-2.0982826550801597,0.01581511029507965
50,-30.53492197394371,48,1.0418345382238112,0.09950122304230094,-2.0277886341015496,0.019047336555862177
51,-29.4635444059968,48,1.0239031934340026,0.09949127291999671,-1.8299061357975006,0.022386523080058396
52,-30.731875643134117,48,1.0421736445731031,0.0994813237927047,-2.042910009622574,0.01657056377734989
53,-29.06788836698979,47,1.0138546307080396,0.09947137566032543,-1.9852776130040486,0.025923882087226957
54,-29.141779467463493,47,1.016381342390328,0.0994614285227594,-1.5788429284637624,0.031034075147048992
55,-30.215102311223745,47,1.0303052332050058,0.09945148237990713,-1.8972532351811726,0.0325654047774151
56,-30.384368933737278,47,1.0274685086189053,0.09944153723166914,-1.79217533270518,0.026655623262437683
57,-29.290816858410835,47,1.0143140563393946,0.09943159307794597,-1.7845676342646282,0.03610998725829025
58,-29.735407925676554,47,1.021797691781459,0.09942164991863818,-1.654853809963573,0.04566308716312051
59,-28.122705087065697,47,1.0012324534824397,0.09941170775364631,-1.8273441791534424,0.0303906382760033
60,-27.902151990681887,47,1.0010360940922207,0.09940176658287095,-1.7410490562518437,0.03919723635772243
61,-30.19275894202292,47,1.0299243778531237,0.09939182640621266,-1.7044811099767685,0.029296016980273027
62,-30.250004462897778,48,1.0397491519138158,0.09938188722357204,-1.6764461795488994,0.07224116738264759
63,-28.742913961410522,47,1.0071484816618688,0.09937194903484968,-1.6454807628284802,0.04577911933037368
64,-27.935842741280794,47,1.0051741388699098,0.0993620118399462,-1.606071452299754,0.04414406973713388
65,-30.287204502150416,47,1.0274561581592454,0.09935207563876221,-1.7223416219154994,0.05428708449471742
66,-29.46625421755016,47,1.0190708250296112,0.09934214043119834,-1.2913182477156322,0.06002184046277156
67,-29.201152700930834,47,1.0160654052248184,0.09933220621715522,-1.342723922296004,0.040309200190346346
68,-29.745153076946735,48,1.0353936802976709,0.0993222729965335,-1.2763205754260223,0.06396165552238624
69,-30.85756090283394,48,1.045056934801479,0.09931234076923384,-1.760664810736974,0.05731953529175371
70,-29.24689951725304,47,1.012721934395451,0.09930240953515691,-1.191818580031395,0.06124907813500613
71,-29.633953602984548,47,1.0215666074457415,0.0992924792942034,-1.517110750079155,0.10537284744593005
72,-28.726741433143616,47,1.0112505233994933,0.09928255004627398,-1.529657781124115,0.035023806849494576
73,-27.494435019791126,47,1.0001346942051692,0.09927262179126936,-1.463264061646028,0.05727940666573969
74,-29.335917351127136,47,1.0178181330297111,0.09926269452909023,-1.465183233221372,0.06703349804350485
75,-27.96757397428155,47,1.0042555039514733,0.09925276825963732,-1.5154103363553684,0.05455898474125812
76,-29.937405221164227,48,1.0367767495168219,0.09924284298281136,-1.175874228278796,0.06782434155077983
77,-29.84996747970581,48,1.0378196786333074,0.09923291869851308,-1.3254913035780191,0.07365453010424972
78,-28.233016641810536,47,1.005561103024303,0.09922299540664323,-1.2950877603143454,0.06791775029463072
79,-30.18339055031538,48,1.032367098242843,0.09921307310710256,-1.0887136769791443,0.07693983662951116
80,-28.08505505695939,48,1.0133285986701537,0.09920315179979185,-1.4179036517937977,0.07989130634814501
81,-27.8614131398499,48,1.0111085528391766,0.09919323148461187,-0.985603072370092,0.051877974260908864
82,-27.0375586040318,49,1.0060064327622584,0.09918331216146341,-0.8384331737955412,0.11411172527975093
83,-24.472868472337723,53,1.0058408035759674,0.09917339383024726,-1.4335748324027429,0.11866333299817947
84,-22.289108630269766,58,1.0226793225337958,0.09916347649086424,-1.7330137073993683,0.08366194389139613
85,-20.707886308431625,60,1.0144117615277055,0.09915356014321515,-2.058468151092529,0.10319262600193421
86,-19.385865412652493,61,1.0053664520996028,0.09914364478720084,-1.8941397825876871,0.11838377164676786
87,-18.63889228925109,60,1.005282712591702,0.09913373042272211,-2.053450548648834,0.09197887688254316
88,-18.395889181643724,61,1.0051682270110471,0.09912381704967983,-2.2667081038157146,0.10417466135695577
89,-18.364439003169537,60,1.0039211492083293,0.09911390466797487,-2.3408627112706504,0.09573755025242765
90,-17.16165443509817,61,1.0020616408658096,0.09910399327750807,-2.474695618947347,0.09121524964769681
91,-18.408095862716436,61,1.0003896987677592,0.09909408287818032,-2.311073862016201,0.08743587112985551
92,-18.957567647099495,61,1.0000669045160633,0.0990841734698925,-2.3727814038594564,0.12781452933947246
93,-18.45800378639251,61,1.0000372973271925,0.0990742650525455,-2.530241322517395,0.07889225042114655
94,-17.856616497039795,62,1.0003334843998788,0.09906435762604025,-2.9134101569652557,0.0908813668647781
95,-14.408934339880943,65,1.0024809362316953,0.09905445119027766,-3.287604734301567,0.07679224282037467
96,-6.753635924309492,77,1.0032423579114425,0.09904454574515863,-3.8060532118144788,0.09519280875591855
97,97.26249763788655,300,0.49477744452691186,0.09903464129058412,-4.580132637023926,0.0744632687419653
98,106.2867543969769,300,0.6663492875631676,0.09902473782645506,-5.297157796223958,0.07805470995604992
99,76.97528379946016,300,0.7611296118115883,0.09901483535267241,-5.378591060638428,0.05882536612451077
100,102.3499841177836,300,0.5875241230988879,0.09900493386913715,-5.771293652852377,0.04676614335427682
101,118.79268612945452,300,0.6960823314011196,0.09899503337575025,-6.129440956115722,0.03071263272315264
102,47.57460184991032,256,1.0020998962336993,0.09898513387241267,-6.568087503314018,0.03418812283780426
103,21.636072959925514,171,1.0032029931212154,0.09897523535902543,-6.829641929892606,0.041150623824187486
104,12.387879988644272,150,1.0104059217086516,0.09896533783548953,-7.0784235387235075,0.03735633514116745
105,11.593531073071063,139,1.0009166851255946,0.09895544130170597,-7.2268743923732215,0.04261398216975587
106,9.851754373696167,131,1.0023962920043212,0.0989455457575758,-7.363737019625577,0.03184670325594418
107,6.302017293870449,126,1.0129918820211907,0.09893565120300005,-7.287648370189052,0.042432410822760676
108,6.073964957147837,121,1.0003146452626528,0.09892575763787975,-7.489004273568431,0.0304465034315663
109,3.0148835727013648,116,1.0054869605756713,0.09891586506211597,-7.456119438697552,0.036949552788302815
110,-1.055957683827728,106,1.0013286299734248,0.09890597347560975,-7.4562326944791355,0.03167272896434252
111,0.2505660392343998,109,1.0018000349832321,0.0988960828782622,-7.653733889261882,0.038176225394838385
112,-0.6614650400006212,109,1.0096154622894502,0.09888619326997437,-7.514891709600176,0.0293918649133827
113,2.5438846917822957,113,1.0094808783952784,0.09887630465064738,-7.8885312761579245,0.04092951404995152
114,2.807793429121375,112,1.01109690968312,0.09886641702018231,-7.893246599606106,0.039062798754977326
115,3.9970715288072824,112,1.0020497950364597,0.0988565303784803,-8.103141716548375,0.0505988733909492
116,5.148337217979133,115,1.0132515141611431,0.09884664472544245,-8.230993369529987,0.03055566414419947
117,7.055414341390133,117,1.0111991142782137,0.0988367600609699,-8.186237729828933,0.046082092063694166
118,8.063182696234435,121,1.01336981590125,0.0988268763849638,-8.216049814224244,0.03275376971190174
119,14.005612796056084,147,1.006586583577842,0.09881699369732531,-8.392742272969839,0.05818191850306215
120,33.41765618007048,224,1.0010678754971951,0.09880711199795558,-8.723680998597827,0.0617436890357307
121,86.2535986462608,300,0.8139406627148107,0.09879723128675579,-9.204057133992514,0.0668301872164011
122,146.9774850695394,300,0.5207001988244598,0.09878735156362711,-9.868584365844727,0.06407898249725501
123,141.65086650056764,300,0.5396015591607979,0.09877747282847076,-10.857047754923503,0.0819905203084151
124,84.6303824824281,300,0.6793067173087332,0.0987675950811879,-11.624709383646648,0.0869306667894125
125,57.87832547118887,300,0.7955514360466214,0.09875771832167979,-11.951300608317057,0.09662952363491058
126,26.640555694524664,300,0.9520185776628111,0.09874784254984763,-12.022577387491863,0.10333024660746257
