episode,episode_reward,episode_length,final_distance,epsilon,avg_loss
50,278.60012233257294,300,0.07949971505815703,0.05,0.5812909392019113
51,285.85905027389526,300,0.03994265473306992,0.05,0.3255104668190082
52,286.96772825717926,300,0.03248724899525141,0.05,0.3154530713831385
53,282.04495418071747,300,0.0986234840915977,0.05,0.6412805803368489
54,273.4052436351776,300,0.08123292753143117,0.05,0.37471631904443103
55,285.7638538479805,300,0.035599130422600433,0.05,0.7107939399157961
56,277.34341686964035,300,0.09037226664968896,0.05,0.3488840664923191
57,286.2172209620476,300,0.03051303241901093,0.05,0.4658289096628626
58,22.062554735690355,71,1.0030029328422723,0.05,1.0112426626599498
59,274.6465035676956,300,0.06117775494388453,0.05,0.6250446517765522
60,285.98355758190155,300,0.028825865577695065,0.05,0.5630716120824217
61,281.9036628603935,300,0.07948066979359926,0.05,0.6275678034126758
62,286.63993752002716,300,0.05739435867186535,0.05,0.396372535203894
63,281.83005052804947,300,0.02846990278911255,0.05,0.9176284549261133
64,279.52898079156876,300,0.028000001380065996,0.05,0.7853911731392145
65,287.3783926963806,300,0.07850406912358565,0.05,1.0357483998437722
66,271.8262420296669,300,0.1007411425908026,0.05,0.7512626735369364
67,275.83246594667435,300,0.12250330303555144,0.05,0.6323476918786765
68,263.3667579293251,300,0.15521603783116036,0.05,0.7465467065324386
69,272.4803863167763,300,0.16228251189048576,0.05,0.8650930295884609
70,282.2109124660492,300,0.06359457357375341,0.05,0.9366851303974787
71,290.18589091300964,300,0.05904666934214006,0.05,0.7623455670475959
72,275.40096950531006,300,0.028006465372708147,0.05,0.9928232925881942
73,286.56522834300995,300,0.038848854306572665,0.05,0.9398617325226466
74,280.3585617542267,300,0.10934499426664875,0.05,0.9762534349411726
75,285.83761167526245,300,0.04963635944739362,0.05,0.7404410162568092
76,281.2746490240097,300,0.05290658695208408,0.05,1.344497289819022
77,280.77730786800385,300,0.0759118883585073,0.05,0.9188821451614301
78,26.018070415593684,86,1.0047900146020314,0.05,2.4398077806191787
79,277.98483312129974,300,0.04705672175343357,0.05,1.3406734634190798
80,286.85274118185043,300,0.028005607516964796,0.05,1.4468129141877095
81,285.9082642197609,300,0.10051074404154796,0.05,0.7640701634436846
82,280.1749064922333,300,0.03589783633194645,0.05,0.7950053910662731
83,270.13763676583767,300,0.05916108576058562,0.05,1.269925168628494
84,287.11505484580994,300,0.04197138577401932,0.05,1.1771847266952198
85,282.6704688668251,300,0.036774686254468246,0.05,0.972754942799608
86,259.6419114470482,300,0.03342501009512712,0.05,1.8291386999438206
87,270.5891200006008,300,0.0782693058387186,0.05,1.1975194938356677
88,284.2425055503845,300,0.1256055908569962,0.05,1.2428984311098854
89,270.5907603800297,300,0.05132816369662839,0.05,1.112016707683603
90,290.72103106975555,300,0.04362737064319986,0.05,1.097085171043873
91,286.73064655065536,300,0.09049033624565103,0.05,1.6309397707507014
92,289.567409157753,300,0.04333067990578964,0.05,1.1541450251142185
93,282.2660327553749,300,0.050497827658262065,0.05,1.8426184437175592
94,284.6321194767952,300,0.10461870450926067,0.05,1.6374687296897172
95,288.8468490242958,300,0.033474310171785815,0.05,1.8337426361441613
96,291.1691107749939,300,0.03709111490542746,0.05,1.1335462093601625
97,285.8058322072029,300,0.03525767021755247,0.05,1.7415441170583168
98,291.79198664426804,300,0.05292265517483005,0.05,1.2967969663068653
99,279.0679577589035,300,0.10441275313320887,0.05,1.810626507451137
