episode,episode_reward,episode_length,final_distance,epsilon,avg_loss
0,38.61912563443184,151,1.003435772198735,0.9272622224580573,0.0
1,81.27770608128048,172,1.00289766676292,0.8508321669676098,0.0
2,31.096062794327736,108,1.0186976080528714,0.8060948262471712,0.0
3,34.95874284347519,114,1.0081307135199586,0.7614215382677318,0.22719047798050773
4,55.32948298146948,164,1.0010366987578119,0.7014619270413868,0.09269928259820473
5,103.0234618583927,267,1.0011524198515427,0.6137779625907799,0.020282102602798103
6,38.347403642721474,99,1.0178427841163806,0.5841284219037255,0.09443215843445311
7,47.21845932863653,121,1.0000034182193263,0.5498281248581236,0.034647403825675285
8,43.45146671682596,105,1.0099133866172438,0.5216999424696379,0.017746709842378132
9,39.067590625956655,103,1.0112335202826095,0.49550612773289854,0.016423431081840627
10,81.03450089739636,165,1.001608728252534,0.4562582963821671,0.013564815347241918
11,65.8825753936544,152,1.0041964084468145,0.4228595463772959,0.0137947179426096
12,114.0175860945601,288,1.0016776497589859,0.3661357148395512,0.019391061120485473
13,36.92612551059574,99,1.0052098675415102,0.3484489348706246,0.07856698051095008
14,73.78937969729304,242,1.0102262801645006,0.30872824719433983,0.022464969761980078
15,136.53694381166133,291,1.0004317351375982,0.26691360890771537,0.01292911995431944
16,230.36424124240875,300,0.36720345309159896,0.22972605444194213,0.014602742698043585
17,80.35518881003372,244,1.0014554819255512,0.20333543839830276,0.07046839729577425
18,255.6461375951767,300,0.2028298680113878,0.17500586868770374,0.020698116275792322
19,269.1573301553726,300,0.040638411269711225,0.15062329673760083,0.01731877736436824
20,246.8907332122326,300,0.3454965419285297,0.12963780980733175,0.055338655753682055
21,235.6309898495674,300,0.1647853995130083,0.11157611136954071,0.034278397150337696
22,262.70100700855255,300,0.22537085598102716,0.09603084660910444,0.030414931007350484
23,269.01524490118027,300,0.08039700525271062,0.0826514151395571,0.029640200572709243
24,238.8922624886036,300,0.19419895340305648,0.07113606373146084,0.10466003472606342
25,273.83142244815826,300,0.09817159440332955,0.06122508071594494,0.04522639730169127
26,277.0716697573662,300,0.11727122458952673,0.052694938573276076,0.05540962751954794
27,230.69668918848038,300,0.5393878059718978,0.05,0.10465891400973003
28,213.47440868616104,300,0.49700031381937126,0.05,0.09595394741743803
29,260.60896787047386,300,0.10267988719164708,0.05,0.10256873623778423
30,280.4784365296364,300,0.14476448110892742,0.05,0.13351864246341089
31,264.35932755470276,300,0.07436369572083387,0.05,0.10635363232965271
32,277.4808351993561,300,0.07342247034002347,0.05,0.14992668305834134
33,290.280196249485,300,0.029563609257854638,0.05,0.10836561331525445
34,248.62576931715012,300,0.17073942049704463,0.05,0.14829164010162155
35,257.0940468907356,300,0.11100463680319353,0.05,0.1979318653109173
36,273.349472373724,300,0.029774962812002457,0.05,0.23244765993207694
37,273.1460003852844,300,0.08515693076768549,0.05,0.24138465577115614
38,277.72668838500977,300,0.08035601475683374,0.05,0.3096702901273966
39,285.36136078834534,300,0.0616827924250259,0.05,0.18286683199306328
40,269.3048415184021,300,0.17772969057286556,0.05,0.40272432484974463
41,283.0267633795738,300,0.04725622295258888,0.05,0.19895025097454588
42,285.9344030022621,300,0.06563050123894358,0.05,0.20521588020026685
43,287.4139720797539,300,0.028210115994847674,0.05,0.22726398604611556
44,259.0768968090415,300,0.029154863925393577,0.05,0.3150643771638473
45,291.6031659245491,300,0.037030074223017406,0.05,0.2977988089993596
46,293.43778693675995,300,0.03612822269664138,0.05,0.28055664074917636
47,272.28175058960915,300,0.16377577871003443,0.05,0.3694088636400799
48,288.35851007699966,300,0.04424774542121785,0.05,0.3384676909012099
49,271.52671307325363,300,0.08296819432440228,0.05,0.4074113879104455
